date,"geonutzv-berlin","Creative Commons Non-Commercial (Any)","Creative Commons Attribution Share-Alike","GeoNutzV-Berlin","Siehe Website des Datensatzes","Open Data Commons Open Database License (ODbL)","Creative Commons Attribution"
2013-04-01,0,38,0,0,87,0,627
2013-05-01,0,55,0,0,135,0,673
2013-06-01,0,54,0,0,88,0,827
2013-07-01,0,34,0,0,55,0,766
2013-08-01,0,28,0,0,55,0,813
2013-09-01,0,27,0,0,58,0,771
2013-10-01,0,28,0,0,54,0,825
2013-11-01,0,25,0,0,41,0,760
2013-12-01,0,14,0,0,24,0,556
2014-01-01,0,27,0,0,53,0,787
2014-02-01,0,25,0,0,44,0,1380
2014-03-01,0,21,5,0,46,0,1003
2014-04-01,0,24,6,0,54,0,1048
2014-05-01,0,22,28,0,45,110,1273
2014-06-01,0,29,29,0,38,143,1246
2014-07-01,0,35,65,0,39,215,1397
2014-08-01,0,25,23,0,46,98,1151
2014-09-01,0,17,90,0,34,102,1005
2014-10-01,0,27,55,0,35,143,1187
2014-11-01,0,16,58,0,31,121,1073
2014-12-01,0,8,39,0,20,80,911
2015-01-01,67,22,61,0,58,125,1107
2015-02-01,42,19,57,0,37,73,1457
2015-03-01,38,15,33,0,33,70,1532
2015-04-01,34,25,41,0,21,72,1394
2015-05-01,21,17,62,0,117,77,1619
2015-06-01,23,17,78,0,198,95,1753
2015-07-01,18,13,77,0,162,94,1390
2015-08-01,8,16,18,0,91,49,1129
2015-09-01,14,20,21,0,108,72,1450
2015-10-01,12,10,71,0,191,103,1418
2015-11-01,13,47,108,0,127,120,1449
2015-12-01,12,9,87,0,96,78,1098
2016-01-01,12,14,87,0,118,101,1693
2016-02-01,9,14,137,86,137,106,1818
2016-03-01,1,9,51,140,88,93,1957
2016-04-01,3,10,68,146,77,217,1868
2016-05-01,5,19,158,131,79,124,1830
2016-06-01,3,6,111,133,78,111,1697
2016-07-01,1,7,118,93,51,132,1400
2016-08-01,2,4,78,83,116,131,1580
2016-09-01,4,4,54,83,99,106,1615
2016-10-01,2,15,91,147,113,116,1697
2016-11-01,1,3,86,164,110,106,1537
2016-12-01,1,2,49,124,95,153,1345
2017-01-01,4,11,78,187,108,254,1985
2017-02-01,2,11,48,157,103,189,1802
2017-03-01,2,19,77,175,144,217,3568
2017-04-01,2,13,41,159,192,177,2564
2017-05-01,1,4,44,152,169,159,2312
2017-06-01,3,6,91,199,100,110,1951
2017-07-01,0,4,114,195,98,108,1860
2017-08-01,0,6,180,188,156,97,2140
2017-09-01,2,5,113,204,93,89,3214
2017-10-01,4,10,84,266,185,220,2108
2017-11-01,0,4,91,217,249,155,2281
2017-12-01,1,3,79,191,115,84,1832
2018-01-01,0,5,104,223,161,166,2318
2018-02-01,0,2,54,175,104,114,2161
2018-03-01,0,2,52,262,154,165,2334
2018-04-01,1,7,112,363,116,148,1653
2018-05-01,0,11,85,489,151,175,1730
2018-06-01,1,3,67,617,115,159,2184