page,group,count
liste-der-häufigen-vornamen-2013,"liste-der-häufigen-vornamen-2013,liste-der-häufigen-vornamen-2016,liste-der-häufigen-vornamen-2012,liste-der-häufigen-vornamen-2015,liste-der-häufigen-vornamen-2023,liste-der-häufigen-vornamen-2010,liste-der-häufigen-vornamen-2007,liste-der-häufigen-vornamen-2017,liste-der-häufigen-vornamen-2014,liste-der-häufigen-vornamen-2001,liste-der-häufigen-vornamen-2000,liste-der-häufigen-vornamen-2003,liste-der-häufigen-vornamen-2011,liste-der-häufigsten-vornamen-2017,liste-der-häufigen-vornamen-2009,liste-der-häufigen-vornamen-2008,list-der-häufigsten-vornamen-2017,liste-der-häufigen-vornamen-1947,liste-der-haeufigen-vornamen-2016,liste-der-häufigen-vornamen-1984,liste-der-häufigen-vornamen-1950,liste-der-häufigen-vornamen-1980,liste-der-hauftigsten-vornamen-2016,liste-der-haeuftigsten-vornamen-2016",17089
openstreetmap-daten-für-berlin,"openstreetmap-daten-für-berlin,open-streetmap-daten-für-berlin,openstreetmapdaten-für-berlin",8546
einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122013,"einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122013,einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122015,einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122012,einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122016,einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122014,einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122011,einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122010,einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122017,einwohnerinnnen-und-einwohner-den-ortsteilen-berlins-am-31122014,einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062016,einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062017,einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062011,einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062014,einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062013,einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062012",6390
vbb-fahrplan2012,"vbb-fahrplan2012,vbb-fahrplan-2012,vbb-fahrplan2013,vbb-fahrplan2014,vbb-fahrplan-2013,vbb-fahrplan-2014,vbb-fahrplan-2016,vbb-fahrplan-2015",5997
liste-der-verbannten-bücher,"liste-der-verbannten-bücher,liste-der-verbannten-bücher-0,listen-der-verbannten-bücher,liste-der-verbannten-buecher,lister-der-verbrannten-buecher",3876
einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen,"einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am-9,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am-8,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am-0,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am-3,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am-6,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am-4,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am-2,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am-7,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am-1,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-am-5,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-nach-5,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-nach-0,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-nach-2,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-nach-3,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-nach,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-nach-1,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-nach-6,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-nach-,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-0,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-1,einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-nach-4",3862
finanzamt-atlas-berlin,"finanzamt-atlas-berlin,finanzamt-atlas-berlin-0",3341
vbb-fahrplandaten-dezember-2017-bis-dezember-2018RE2,"vbb-fahrplandaten-dezember-2017-bis-dezember-2018RE2,vbb-fahrplandaten-dezember-2016-bis-dezember-2017,vbb-fahrplandaten-dezember-2017-bis-dezember-2018,vbb-fahrplandaten-dezember-2015-bis-dezember-2016,vbb-fahrplandaten-dezember-2014-bis-dezember-2015,vbb-fahrplandaten-november-2017-bis-dezember-2018,vbb-fahrplandaten-november-2015-bis-dezember-2016,vbb-fahrplandaten-september-2015-bis-dezember-2015",3254
liste-der-badestellen-badegewässerqualität,"liste-der-badestellen-badegewässerqualität,liste-der-badestellen-badegewäA4sserqualität,liste-der-badestellen-badegewÃ¤sserqualitÃ¤t,liste-der-badestellen-badegewässerqualität.rdf",3191
vbb-fahrplandaten-api,"vbb-fahrplandaten-api",2941